	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
endometrium.carcinoma.clear_cell_carcinoma	0.06845210200868046		0.227692307692	0.772307692308	0.227692307692	0.732340425532	1.0	0.732340425532
ovary.carcinoma.mixed_carcinoma	0.06701519114421779		0.241230769231	0.758769230769	0.241230769231	0.732340425532	1.0	0.732340425532
stomach.carcinoma.small_cell_adenocarcinoma	0.06672217102376658		0.244615384615	0.755384615385	0.244615384615	0.732340425532	1.0	0.732340425532
ovary.carcinoma.mucinous_carcinoma	0.06658619820940609		0.245846153846	0.754153846154	0.245846153846	0.732340425532	1.0	0.732340425532
stomach.carcinoma.tubular_adenocarcinoma	0.06589484752825994		0.252	0.748	0.252	0.732340425532	1.0	0.732340425532
central_nervous_system.primitive_neuroectodermal_tumour-medulloblastoma.NS	0.06588480584617873		0.252153846154	0.747846153846	0.252153846154	0.732340425532	1.0	0.732340425532
primitive_neuroectodermal_tumour-medulloblastoma	0.06588480584617873		0.252153846154	0.747846153846	0.252153846154	0.732340425532	1.0	0.732340425532
soft_tissue.leiomyosarcoma.NS	0.06500903251051367		0.262461538462	0.737538461538	0.262461538462	0.732340425532	1.0	0.732340425532
leiomyosarcoma	0.06500903251051367		0.262461538462	0.737538461538	0.262461538462	0.732340425532	1.0	0.732340425532
lung.carcinoma.bronchioloalveolar_adenocarcinoma	0.06485181246732223		0.264769230769	0.735230769231	0.264769230769	0.732340425532	1.0	0.732340425532
ovary.carcinoma.undifferentiated_carcinoma	0.06405782893383942		0.272769230769	0.727230769231	0.272769230769	0.73875	1.0	0.73875
liver.other.hepatoblastoma	0.06261395189538567		0.288923076923	0.711076923077	0.288923076923	0.766530612245	1.0	0.766530612245
stomach.carcinoma.diffuse_adenocarcinoma	0.05890028978988384		0.327846153846	0.672153846154	0.327846153846	0.8524	1.0	0.8524
oesophagus.carcinoma.NS	0.05433610103257165		0.366461538462	0.633538461538	0.366461538462	0.902264150943	1.0	0.902264150943
endometrium.carcinoma.carcinosarcoma-malignant_mesodermal_mixed_tumour	0.05417302908204505		0.367076923077	0.632923076923	0.367076923077	0.902264150943	1.0	0.902264150943
ovary.carcinoma.Brenner_tumour	0.0540383210175492		0.367846153846	0.632153846154	0.367846153846	0.902264150943	1.0	0.902264150943
stomach.carcinoma.signet_ring_adenocarcinoma	0.05198502130274501		0.381846153846	0.618153846154	0.381846153846	0.919259259259	1.0	0.919259259259
